id_job,gpu_id,avgmemoryutilization_pct,avgsmutilization_pct,memoryutilization_pct_avg,pcierxbandwidth_megabytes_avg,pcietxbandwidth_megabytes_avg,totalexecutiontime_sec,powerusage_watts_avg
1341580314,0,8.0,23.0,8.0,555.0,1014.0,60249.2,61.945
1341580314,0,8.0,23.0,8.0,1353.0,1029.0,60249.2,64.5492
1341580314,0,8.0,23.0,8.0,688.0,609.0,60250.8,62.657
1341580314,1,8.0,23.0,8.0,1526.0,1201.0,60249.2,61.1444
1341580314,1,8.0,24.0,8.0,764.0,1301.0,60249.2,65.3233
1341580314,1,8.0,23.0,8.0,1053.0,1784.0,60250.9,65.1996
1341580314,0,8.0,23.0,8.0,1682.0,1676.0,60250.9,67.7004
1341580314,1,8.0,23.0,9.0,1291.0,549.0,60249.2,60.7546
1341580314,0,8.0,23.0,8.0,365.0,654.0,60249.2,64.3372
1341580314,1,8.0,23.0,8.0,427.0,465.0,60249.2,68.2751
1341580314,0,8.0,23.0,8.0,604.0,602.0,60249.3,65.5982
1341580314,1,8.0,23.0,8.0,1459.0,1595.0,60249.3,66.0285
1341580314,0,8.0,23.0,9.0,1247.0,1860.0,60249.2,64.7869
1341580314,1,8.0,23.0,8.0,1208.0,527.0,60250.8,59.8482
1341580314,0,8.0,20.0,7.0,1345.0,1277.0,60249.4,65.0192
1341580314,1,8.0,20.0,8.0,1646.0,612.0,60249.4,63.3216
1602045345,0,2.0,52.0,2.0,792.0,1576.0,24312.5,50.8433
1602045345,1,2.0,51.0,2.0,825.0,1354.0,24311.8,49.0169
1602045345,1,2.0,48.0,2.0,1743.0,663.0,24313.6,46.3519
1602045345,0,2.0,49.0,2.0,1606.0,1729.0,24313.5,48.0851
1602045345,1,2.0,48.0,2.0,1138.0,1614.0,24311.8,51.2211
1602045345,0,2.0,49.0,2.0,590.0,1678.0,24313.5,49.6333
1602045345,1,2.0,48.0,2.0,581.0,1293.0,24311.8,48.5348
1602045345,0,2.0,51.0,2.0,1815.0,1776.0,24311.8,49.1022
1602045345,1,2.0,49.0,2.0,1081.0,577.0,24313.5,50.6008
1602045345,0,2.0,48.0,2.0,640.0,221.0,24313.5,51.3517
1602045345,1,2.0,48.0,2.0,1130.0,1268.0,24313.5,47.0412
1602045345,0,2.0,52.0,2.0,514.0,1265.0,24313.5,51.4189
1602045345,1,2.0,47.0,2.0,1371.0,562.0,24313.5,50.0225
1602045345,1,2.0,50.0,2.0,1473.0,1216.0,24313.5,47.3734
1602045345,0,2.0,50.0,2.0,300.0,189.0,24313.6,47.3418
1602045345,1,2.0,50.0,2.0,1385.0,1667.0,24313.6,47.7192
1602045345,1,2.0,52.0,2.0,1769.0,1486.0,24313.5,50.5028
1602045345,0,2.0,49.0,2.0,942.0,1216.0,24313.5,50.0041
1602045345,0,2.0,48.0,2.0,681.0,1761.0,24311.8,51.7493
1602045345,1,2.0,48.0,2.0,1561.0,323.0,24311.8,50.3317
1602045345,0,2.0,50.0,2.0,1723.0,1165.0,24313.5,48.5567
1602045345,0,2.0,47.0,2.0,559.0,1421.0,24313.6,47.9813
1602045345,0,2.0,50.0,2.0,978.0,752.0,24313.6,49.8196
1602045345,1,2.0,50.0,2.0,395.0,328.0,24313.6,48.9798
1602045345,1,2.0,49.0,2.0,435.0,1252.0,24313.5,46.6349
1602045345,0,2.0,47.0,2.0,387.0,1974.0,24313.5,49.4363
1602045345,0,2.0,48.0,2.0,761.0,1217.0,24311.8,47.6868
1602045345,1,2.0,50.0,2.0,1499.0,1394.0,24311.8,49.5564
1602045345,0,2.0,50.0,2.0,507.0,1452.0,24311.8,50.8661
1602045345,1,2.0,49.0,2.0,701.0,1563.0,24313.5,47.477
1602045345,0,2.0,50.0,2.0,524.0,1780.0,24311.8,49.0366
1602045345,1,2.0,50.0,2.0,808.0,2000.0,24311.8,48.381
1602045345,1,2.0,47.0,2.0,426.0,1953.0,24311.8,48.7248
1602045345,0,2.0,47.0,2.0,459.0,1739.0,24311.8,50.3367
1602045345,0,2.0,49.0,2.0,1507.0,1214.0,24311.8,52.4407
1602045345,1,2.0,51.0,2.0,1089.0,1863.0,24311.8,46.0652
1602045345,1,2.0,51.0,2.0,686.0,1603.0,24313.5,46.5158
1602045345,1,2.0,49.0,2.0,1541.0,1203.0,24312.5,46.548
1602045345,0,2.0,50.0,2.0,1475.0,1487.0,24311.8,48.5251
1602045345,0,2.0,48.0,2.0,1058.0,1350.0,24311.8,50.1321
1602045345,1,2.0,47.0,2.0,1618.0,1886.0,24313.5,52.0962
1602045345,0,2.0,47.0,2.0,703.0,1545.0,24313.5,51.965
1602045345,1,2.0,47.0,2.0,1224.0,946.0,24313.5,47.354
1602045345,0,2.0,48.0,2.0,670.0,1470.0,24313.5,50.5324
1602045345,1,2.0,52.0,2.0,1266.0,1155.0,24313.5,47.4723
1602045345,1,2.0,51.0,2.0,776.0,1578.0,24311.8,51.1202
1602045345,0,2.0,49.0,2.0,1845.0,1183.0,24312.5,49.331
1602045345,0,2.0,52.0,2.0,1078.0,1073.0,24311.8,47.9669
1602045345,1,2.0,50.0,2.0,414.0,2026.0,24311.8,46.9186
1602045345,1,2.0,47.0,2.0,872.0,489.0,24313.5,49.2628
1602045345,0,2.0,51.0,2.0,833.0,652.0,24311.8,48.5262
1602045345,1,2.0,49.0,2.0,519.0,1868.0,24311.8,48.3507
1602045345,1,2.0,49.0,2.0,1754.0,1394.0,24311.8,49.3871
1602045345,0,2.0,51.0,2.0,1456.0,1716.0,24311.8,49.5418
1602045345,1,2.0,51.0,2.0,1853.0,1650.0,24311.8,48.862
1602045345,1,2.0,52.0,2.0,1831.0,272.0,24312.5,49.3795
1602045345,0,2.0,49.0,2.0,1752.0,1720.0,24311.8,49.4704
1602045345,0,2.0,47.0,2.0,1367.0,1589.0,24313.5,46.9817
1602045345,1,2.0,48.0,2.0,1295.0,1227.0,24311.8,50.4735
1602045345,0,2.0,48.0,2.0,1526.0,917.0,24311.8,47.5349
1602045345,0,2.0,52.0,2.0,348.0,1848.0,24313.5,50.8351
1602045345,0,2.0,47.0,2.0,1712.0,1066.0,24311.8,48.5775
1602045345,1,2.0,47.0,2.0,647.0,502.0,24311.8,47.8642
1602045345,0,2.0,51.0,2.0,222.0,999.0,24313.5,48.3849
1626809484,0,2.0,70.0,2.0,1023.0,1370.0,88526.6,49.5092
1626809484,1,2.0,70.0,2.0,1035.0,444.0,88526.6,50.7087
1626809484,1,2.0,71.0,2.0,967.0,1385.0,88526.5,48.8263
1626809484,0,2.0,71.0,2.0,1298.0,1835.0,88526.6,52.0862
1626809484,1,2.0,71.0,1.0,705.0,1611.0,88526.6,51.4856
1626809484,1,2.0,70.0,2.0,1328.0,1399.0,88524.9,52.6788
1626809484,0,2.0,70.0,2.0,1436.0,337.0,88524.9,54.9991
1626809484,0,2.0,71.0,2.0,957.0,1583.0,88526.6,50.6719
1626809484,0,1.0,72.0,2.0,1389.0,1119.0,88526.7,47.9108
1626809484,1,2.0,72.0,2.0,947.0,380.0,88526.7,49.7301
1626809484,0,2.0,71.0,2.0,1207.0,1323.0,88525.1,51.8048
1626809484,1,2.0,71.0,2.0,932.0,310.0,88525.0,49.9743
1626809484,0,1.0,70.0,2.0,1366.0,877.0,88524.9,55.9587
1626809484,1,2.0,71.0,2.0,1203.0,1400.0,88526.6,53.7248
1626809484,0,2.0,70.0,2.0,1309.0,1326.0,88524.9,49.4126
